,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Novita,CO,4.9551,-76.6053,81.46,86,89,4.14,overcast clouds
152,Bambanglipuro,ID,-7.95,110.2833,75.85,87,12,9.8,few clouds
153,Kolobrzeg,PL,54.1757,15.5834,66.96,88,100,17.54,overcast clouds
154,Poum,NC,-20.2333,164.0167,74.26,68,100,11.12,overcast clouds
155,Victoria Falls,ZW,-17.9235,25.843,60.71,61,95,2.71,overcast clouds
156,Berlevag,NO,70.8578,29.0864,60.6,87,20,8.05,few clouds
157,Alexandria,EG,31.2156,29.9553,77.5,68,0,7.67,clear sky
158,Saldanha,ZA,-33.0117,17.9442,59.05,89,0,13.22,clear sky
159,Mahebourg,MU,-20.4081,57.7,68.29,83,40,12.66,scattered clouds
160,Urdoma,RU,61.7533,48.5442,55.85,61,40,4.36,scattered clouds
161,Benin,BJ,9.5,2.25,71.78,94,45,4.59,scattered clouds
162,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,84,75,17.27,broken clouds
163,Bonthe,SL,7.5264,-12.505,76.26,87,100,4.85,light rain
164,Cockburn Town,TC,21.4612,-71.1419,87.76,62,40,13.8,scattered clouds
165,Laramie,US,41.3114,-105.5911,79.09,29,0,10.36,clear sky
166,Karpathos,GR,35.507,27.2132,75.16,83,20,29.93,few clouds
167,San Vicente De Canete,PE,-13.0751,-76.3835,65.89,73,41,7.05,scattered clouds
168,Flin Flon,CA,54.7682,-101.865,62.44,36,40,14.97,scattered clouds
169,Kpandu,GH,6.9954,0.2931,74.1,90,94,7.9,light rain
170,Kushmurun,KZ,52.4503,64.6311,59.86,61,74,5.32,broken clouds
171,Sandwick,GB,60.0,-1.25,53.42,94,75,9.22,light rain
172,Gazojak,TM,41.1875,61.4036,84.49,15,4,13.69,clear sky
173,Vostok,RU,46.4856,135.8833,62.02,89,100,2.91,overcast clouds
174,Bello,CO,6.3373,-75.558,83.08,44,40,9.22,scattered clouds
175,Dikson,RU,73.5069,80.5464,33.37,93,100,6.51,overcast clouds
176,Bumba,CD,2.1833,22.4667,72.34,93,79,1.63,light rain
177,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,12.66,light rain
178,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,28,8.01,scattered clouds
179,Buala,SB,-8.145,159.5921,79.07,85,72,9.86,light rain
180,Airai,TL,-8.9266,125.4092,58.66,96,67,3.18,broken clouds
181,Adrar,MR,20.5022,-10.0711,96.89,10,55,13.0,broken clouds
182,Emerald,AU,-23.5333,148.1667,60.94,100,100,6.91,light rain
183,Tazovskiy,RU,67.4667,78.7,47.16,71,100,10.31,overcast clouds
184,Salalah,OM,17.0151,54.0924,84.29,84,75,6.91,broken clouds
185,Karratha,AU,-20.7377,116.8463,60.84,37,4,18.9,clear sky
186,Tsumeb,NA,-19.2333,17.7167,59.88,35,4,8.72,clear sky
187,Sechura,PE,-5.5569,-80.8222,74.82,57,9,14.9,clear sky
188,Teruel,ES,40.6667,-0.6667,63.07,76,2,5.08,clear sky
189,Merauke,ID,-8.4667,140.3333,77.22,93,100,9.04,overcast clouds
190,Deputatskiy,RU,69.3,139.9,46.29,77,60,0.63,broken clouds
191,San Patricio,US,28.017,-97.5169,99.16,45,98,13.76,overcast clouds
192,Vardo,NO,70.3705,31.1107,46.38,93,100,5.75,fog
193,Kampot,KH,10.6167,104.1833,84.25,87,100,7.23,overcast clouds
194,Papayal,PE,-4.0761,-80.7361,83.12,44,4,7.29,clear sky
195,Severo-Kurilsk,RU,50.6789,156.125,51.93,78,84,11.68,broken clouds
196,Faya,SA,18.3851,42.4509,73.51,49,96,3.67,light rain
197,Santa Maria,BR,-29.6842,-53.8069,61.9,67,0,10.36,clear sky
198,Vanersborg,SE,58.3807,12.3234,71.55,78,75,12.66,broken clouds
199,Nabinagar,BD,23.8917,90.9733,78.1,94,76,5.57,broken clouds
200,Launceston,AU,-41.45,147.1667,36.16,96,100,5.75,overcast clouds
201,Fos-Sur-Mer,FR,43.4377,4.9446,77.47,33,0,12.66,clear sky
202,Port Hedland,AU,-20.3167,118.5667,51.85,58,1,9.22,clear sky
203,May Pen,JM,17.9645,-77.2451,87.01,49,90,14.5,overcast clouds
204,Tessalit,ML,20.1986,1.0114,100.04,6,1,15.97,clear sky
205,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,87,75,19.57,broken clouds
