City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
49,Esperance,AU,2022-06-28 18:00:55,-33.8667,121.9,51.64,67,97,10.4
50,Lavrentiya,RU,2022-06-28 18:00:56,65.5833,-171.0,44.01,94,93,9.84
51,Busselton,AU,2022-06-28 18:00:56,-33.65,115.3333,47.8,84,3,9.19
52,Poum,NC,2022-06-28 18:00:57,-20.2333,164.0167,74.88,78,100,21.0
53,Puerto Ayora,EC,2022-06-28 18:00:58,-0.7393,-90.3518,71.55,88,38,5.99
54,Barrow,US,2022-06-28 18:00:58,71.2906,-156.7887,48.22,87,100,8.05
55,Yellowknife,CA,2022-06-28 17:57:12,62.456,-114.3525,68.56,28,20,13.8
56,Cassilandia,BR,2022-06-28 18:00:59,-19.1133,-51.7342,86.05,25,2,3.98
57,Ponta Do Sol,PT,2022-06-28 18:00:59,32.6667,-17.1,70.72,64,4,4.81
58,Ahuimanu,US,2022-06-28 18:01:00,21.4447,-157.8378,77.86,77,100,7.0
59,Korla,CN,2022-06-28 18:01:00,41.7597,86.1469,84.36,26,28,23.51
60,Trindade,BR,2022-06-28 18:01:01,-16.6494,-49.4889,85.91,21,0,2.3
61,Kahului,US,2022-06-28 18:01:01,20.8947,-156.47,78.84,80,96,13.0
62,Vaini,TO,2022-06-28 18:01:02,-21.2,-175.2,75.74,87,47,16.22
63,Port Elizabeth,ZA,2022-06-28 18:01:02,-33.918,25.5701,58.32,58,0,1.99
64,Pevek,RU,2022-06-28 18:01:03,69.7008,170.3133,43.84,83,98,9.57
65,Kodiak,US,2022-06-28 18:01:03,57.79,-152.4072,56.19,82,52,1.41
66,Salalah,OM,2022-06-28 18:01:04,17.0151,54.0924,81.5,91,100,6.42
67,Arenapolis,BR,2022-06-28 18:01:05,-14.4503,-56.8461,94.28,21,0,1.99
68,Waipawa,NZ,2022-06-28 18:01:05,-41.4122,175.5153,46.94,90,100,3.13
69,Luino,IT,2022-06-28 18:00:21,46.0019,8.7451,79.05,76,100,4.61
70,Ribeira Grande,PT,2022-06-28 18:01:06,38.5167,-28.7,70.2,83,40,19.57
71,Weligama,LK,2022-06-28 18:01:06,5.9667,80.4167,78.4,87,52,11.41
72,Nuuk,GL,2022-06-28 18:01:07,64.1835,-51.7216,47.01,81,100,13.8
73,Kieta,PG,2022-06-28 18:01:07,-6.2167,155.6333,77.47,83,55,4.54
74,Castro,BR,2022-06-28 18:01:08,-24.7911,-50.0119,68.34,60,51,9.62
75,New Norfolk,AU,2022-06-28 18:01:08,-42.7826,147.0587,50.72,88,100,1.01
76,Baykit,RU,2022-06-28 18:01:09,61.67,96.37,54.27,94,40,8.39
77,Aswan,EG,2022-06-28 18:01:09,24.0934,32.907,94.17,17,11,13.2
78,Airai,TL,2022-06-28 18:01:10,-8.9266,125.4092,57.97,92,78,3.94
